annot_type	best_attn_agg	attn_auprc	attn_or	best_sae_feature	sae_auprc	sae_or	convergence_score
Domain: MGS-like	layer_16_to	1.0		7349	1.0	inf	1.0
Domain: DHFR	layer_25_to	0.9999331484949635	inf	303	1.0	inf	0.9999665731301636
Domain: FMN hydroxy acid dehydrogenase	layer_18_to	0.999797435727151	inf	4258	1.0	inf	0.9998987076044653
Domain: RNase H type-1	layer_18_to	0.9997309338233017	inf	988	1.0000000238418578	inf	0.9998654607277846
Domain: YcgL	layer_01_to	0.997409191662467	inf	11631	1.0	inf	0.9987029155826721
Domain: GH11	layer_26_to	0.9969709324949264	inf	653	1.0	inf	0.9984831689556497
Domain: DPCK	layer_23_to	0.9997559687997585	inf	15333	0.9960037115642004	inf	0.9978763128448705
Domain: YjeF C-terminal	layer_32_to	0.999480608849598	inf	12531	0.9909100532531738	inf	0.9951768787885639
Domain: WAP	layer_28_to	0.9931222475724524	inf	13626	0.9970446065068244	inf	0.9950795618110575
Domain: Myosin motor	layer_06_to	0.9898171904995743	inf	3988	0.9923962354660034	inf	0.9911050351934924
Domain: Fe/B12 periplasmic-binding	layer_28_to	0.9982797494233993	inf	4095	0.982565955320994	inf	0.9903605246188282
Domain: RNase H type-2	layer_21_to	0.9984631719217679	inf	15747	0.9765920120360304	25.132335184737983	0.9874064946954833
Binding site: heme b; distal binding residue	layer_25_to	0.972972972972973	inf	6972	1.0	inf	0.9863013698630138
Domain: ASCH	layer_12_to	0.9995515690923604	inf	9846	0.9733615634085118	14.833333333333334	0.986282732849862
Domain: ABM	layer_28_to	0.9772666701365197	2.5907364201962193	1835	0.9916788531201226	inf	0.9844200148621208
Domain: GRAS	layer_32_to	0.971860592506591	inf	4128	0.9924271679350308	inf	0.9820362116720952
Domain: HDAg	layer_02_to	0.998082047571697	inf	15077	0.9626966671245856	12.614754098360656	0.9800700645233055
Domain: GS catalytic	layer_32_to	0.9558656177471337	inf	15489	1.0	5.7	0.977434859607736
Domain: NodB homology	layer_21_to	0.982829316678074	100.33333333333333	9600	0.9661269820466334	inf	0.9744065808047818
Region: Nucleotide-binding domain (NBD)	layer_12_to	0.9572510624237022	555.9202615757831	12154	0.9877895712852478	inf	0.9722805787977671
Topological domain: Virion surface	layer_03_to	0.9431029861639116	7.5712145481677116	1748	1.0	inf	0.9707184774861497
Region: 3 X 8 AA repeats of S-P-R-R-R-R-S-Q	layer_11_to	0.9711669513932667	882.0102040816327	10292	0.9697141331784864	inf	0.9704399985429389
Domain: Cytochrome b561	layer_32_to	0.9553438885785019	4.666080035514967	8657	0.9790280187452162	22.375	0.9670409613727263
Domain: LCN-type CS-alpha/beta	layer_28_to	0.9351449945177345	18.851272015655578	6295	1.0	inf	0.9664857126127501
Domain: Globin	layer_15_to	0.9321441401673596	17.87578830508599	4760	1.0	inf	0.9648805394887553
Domain: PTS EIIC type-1	layer_08_to	0.9376691103954543	inf	13414	0.9922994673252106	inf	0.964211095987473
Domain: GMPS ATP-PPase	layer_11_to	0.9255178631535707	inf	3363	1.0	inf	0.9613183869795713
DNA binding: Fork-head	layer_28_to	0.9812668692519346	3731.2390057361376	14069	0.939475341141224	87.46720779220779	0.9599164549545067
Domain: BPL/LPL catalytic	layer_11_to	0.9908090771990096	inf	11725	0.925471774302423	6.042314049586777	0.9570265589742322
Domain: Radical SAM core	layer_24_to	0.9562052192042785	591.7358139534883	3329	0.9543101191520692	inf	0.9552567292736005
Region: 3 X 8 AA repeats of S-P-R-R-R-[PR]-S-Q	layer_11_to	0.9420693145335618	600.5963897246008	10292	0.9682133805077032	inf	0.9549624441082123
Domain: PINc	layer_15_to	0.910318286572803	5.907571084699865	5188	1.0	inf	0.9530540465127987
Domain: tr-type G	layer_12_to	0.9079023819600701	13.164323664743117	14247	1.0	inf	0.951728338456544
DNA binding: T-box	layer_13_to	0.9651923160802365	302.82839167537446	8657	0.9312156884011878	88.30064899523028	0.9478996343974758
Domain: IF rod	layer_25_to	0.9312342043390544	43.15322343523252	396	0.9612613916397096	inf	0.9460095855520309
Domain: PPM-type phosphatase	layer_20_to	0.8955544176478396	6.984662683463343	15332	1.0	inf	0.9448997183200021
Domain: Nudix hydrolase	layer_01_to	0.8945295878140702	3.701133326947152	8512	1.0	inf	0.9443289707036865
Region: Catalytic	layer_32_to	0.8941970494404577	37.07859164915562	1051	1.0	inf	0.944143640921204
Domain: Thioredoxin	layer_12_to	0.8926550927236739	1.8867549668874173	1432	0.9890131308482244	inf	0.9383669203345287
Region: Flexible region	layer_05_to	0.9379686993775171	150.74698029243484	6773	0.9288151372562756	inf	0.9333694765917584
Domain: DAGKc	layer_16_to	0.8672258321065545	120.28552803129074	7701	1.0	inf	0.9288922820098021
Domain: Guanylate kinase-like	mean_from	0.8625756364581364	1.3618817068910893	10737	1.0	inf	0.9262181031191897
Domain: ABC transmembrane type-1	layer_10_to	0.9210297094749689	792.635463258786	700	0.9293573200702668	inf	0.9251747756934091
Domain: UmuC	layer_11_to	0.858439071791507	13.054070116650333	2830	1.0	inf	0.9238280499171649
Region: Large ATPase domain (RuvB-L)	layer_11_to	0.8544074608096364	368.35105981745494	3170	1.0	inf	0.921488377140805
Domain: TNase-like	layer_25_to	0.961977968388746	14.761575554540379	4859	0.877401379438547	5.502958579881657	0.9177452138415846
Domain: Biotin carboxylation	layer_12_to	0.8475916852233984	5.7293688225973405	8274	1.0	inf	0.917509742008731
DNA binding: Homeobox	layer_28_to	0.8460939471889452	20.07730110775428	9709	1.0	0.1864406779661017	0.9166315164808333
Domain: Peptidase S8	layer_20_to	0.9818611920196539	155.76006440055988	7973	0.8583616614341736	5.901287553648069	0.9159673269983923
Domain: Sm	layer_28_to	0.8352994229643341	2.6094841675178753	703	1.0	inf	0.9102595603884377
Domain: CoA carboxyltransferase N-terminal	layer_13_to	0.8304166278213146	15.12659476746164	7367	1.0	inf	0.9073525832309911
Domain: AB hydrolase-1	layer_21_to	0.8863873532872726	20.573528982759125	2080	0.9146108031272888	2.092395167022033	0.9002779333054842
Domain: USP	layer_28_to	0.8423138182295438	6.256058371427395	13524	0.966244637966156	3.5636363636363635	0.9000330706048553
Domain: Peptidase S1	last_layer_to	0.8172848496199995	6.1644722641916685	8377	1.0	inf	0.899457066173084
Region: Reductase	layer_21_to	0.8928135032019963	inf	4982	0.9050322130874352	13.74123059229442	0.89888133709819
Domain: Tyr recombinase	layer_02_to	0.8974707623536182	16.929773116438355	15875	0.8882286548614502	13.672727272727272	0.892825791774143
Domain: FAD-binding PCMH-type	layer_21_to	0.8049189684080612	26.344412542900425	3645	1.0	inf	0.891917014000911
Domain: FAD-binding FR-type	layer_24_to	0.8170747041373122	15.120774989704065	1685	0.9807146191596984	inf	0.8914471756050837
Domain: Peripheral subunit-binding (PSBD)	layer_21_to	0.8009738811650996	104.08864203128542	14403	1.0	inf	0.8894897250224724
Domain: Tyrosine-protein phosphatase	layer_28_to	0.8168261076853881	9.856993431237187	1694	0.9689667224884032	6.571428571428571	0.8864156054763019
Domain: MPN	layer_28_to	0.8857638526795363	39.56942222222222	8198	0.8789500594139099	inf	0.8823438015692896
Domain: HTH dtxR-type	layer_13_to	0.8231100763173441	10.278410217762088	13414	0.9485096335411072	inf	0.881371811915702
Domain: NAC-A/B	layer_25_to	0.917839279756253	875.7224669603524	4810	0.8426566592284611	43.87003610108303	0.8786426188907858
Domain: IGFBP N-terminal	layer_20_to	0.7798029033274322	39.18183468913423	5534	1.0	inf	0.8762800665956337
Propeptide: Activation peptide	layer_15_to	0.751348239389187	23.67817235283624	15645	1.0	inf	0.8580226621876558
Domain: NR LBD	layer_31_to	0.7448307840784595	6.814516187685286	9897	1.0	inf	0.8537570415137367
DNA binding: HMG box	layer_28_to	0.7726132617232808	27.7572615166962	11799	0.9511978030204772	inf	0.8526549714947012
Domain: C-type lectin	layer_28_to	0.7405229914433503	2.4578889998049407	9596	1.0	inf	0.850920091356291
Region: Amidoligase domain	layer_16_to	0.7267086203699405	5.0156109112053056	4688	1.0	inf	0.8417269848508037
Domain: SH2	layer_28_to	0.7493753244862983	14.454263734607947	11973	0.9587536237456582	inf	0.8412319323321397
Domain: RRM	layer_28_to	0.7229131283577837	13.396502931888897	14425	1.0	inf	0.8391753669517132
Domain: ZP	layer_12_to	0.8233901218504585	8.893885999143619	5986	0.8489718479769571	7.025449291928621	0.8359853261019737
Domain: Glutamine amidotransferase type-1	layer_12_to	0.7333389096182478	7.4581121707289935	11483	0.9701006412506104	1.9609279609279608	0.8352659724400807
Domain: Pyruvate carboxyltransferase	layer_29_to	0.7490186564405071	9.240970368970597	2367	0.943791925907135	inf	0.8352000722041629
Domain: HTH cro/C1-type	layer_32_to	0.8044249784883909	10.506694751529462	374	0.8643605709075928	9.560975609756095	0.8333164604765687
Domain: F-BAR	layer_13_to	0.7151095686050823	2.125645679184699	10840	0.981406271457672	inf	0.8273580462207273
Domain: Protein kinase	layer_32_to	0.7003858271299056	4.765016327598979	4763	0.9991350769996644	inf	0.8235027243484393
Domain: PPIase FKBP-type	layer_24_to	0.8711742226196281	86.22166462668298	5372	0.7747287750244141	2.550872093023256	0.8201257781157718
Region: Coil 2	layer_27_to	0.6940645312632406	14.259659250823074	4100	1.0	inf	0.8194074292384674
Region: Pyrophosphorylase	layer_07_to	0.6929107640175065	6.69848201135346	78	1.0	inf	0.818602821536955
Region: Uridylyltransferase	layer_01_to	0.6911765393326603	7.217452566964286	9125	1.0	inf	0.81739135241954
Domain: MCM C-terminal AAA(+) ATPase	layer_10_to	0.8400778400381682	49.09520471187846	4128	0.7875113673508167	30.70137157107232	0.812945730392112
Region: Complementarity-determining-2	layer_22_to	0.7919710210492987	85.55419635787807	3679	0.8246112609960774	inf	0.807961623225909
DNA binding: ETS	layer_28_to	0.7613149730939703	25.77906683480454	8537	0.856430998586473	33.75509337860781	0.8060767933403284
Domain: Cupin type-1 1	layer_08_to	0.858467299784773	37.704836800731314	5065	0.7583252191543579	2.0	0.8052949226574775
Region: Editing domain	layer_01_to	0.6733628872360454	44.977853349287315	10437	1.0000001192092896	inf	0.8048020243229324
Domain: PCI	layer_10_to	0.8088590670772492	22.62033829069398	85	0.7962468266487122	3.0019762845849804	0.80250339604853
Domain: Carrier	layer_23_to	0.6668828751995327	1.6578055307760928	4157	1.0	inf	0.800155649951955
Domain: ATP-grasp	layer_07_to	0.7063853718877514	5.922069496848029	13431	0.9178115510342204	inf	0.7983374979356836
Domain: FERM	layer_01_to	0.6822973243314265	3.356572226958472	9858	0.9587522745132446	7.304453441295546	0.7972386843853989
Topological domain: Extracellular	layer_06_to	0.6555974404518521	1.821168299106581	8721	1.0	inf	0.791976871228943
Region: Framework-3	layer_10_to	0.6551384143797322	8.247487944256793	4633	1.0	inf	0.7916418454045091
Region: N-acetyltransferase	layer_15_to	0.854822420130516	56.5180079648645	7238	0.736669923692093	3.759632154748692	0.7913603473521046
Domain: ABC transmembrane type-2 1	layer_16_to	0.8471539301821408	100.98534560339071	15214	0.7207840383052826	inf	0.7788765156977863
Domain: ABC transporter 1	layer_06_to	0.6355915426024225	10.179143958434302	15169	1.0	inf	0.7772008182325522
Domain: GIY-YIG	layer_20_to	0.6516034491036211	4.638706282667415	15468	0.9261537194252014	inf	0.764990925112167
Region: Uridylyl-removing	layer_24_to	0.9843049595698109	inf	8222	0.6245307723681132	3.1327902866364403	0.764190805117719
Domain: GOLD	layer_27_to	0.6941629865896995	1.8598281656823212	4095	0.847106423460204	inf	0.763046253995808
Domain: Disintegrin	layer_23_to	0.6119970717514224	14.460903005269904	5252	1.0	inf	0.7593029571530081
Domain: Fe2OG dioxygenase	layer_17_to	0.7610471844726565	14.536824877250409	4128	0.7537425364514715	10.853889943074003	0.7573772481552282
Domain: Ig-like V-type	layer_01_to	0.6004024381298424	2.619184867328646	11764	1.0	inf	0.7503143257285279
Domain: 2Fe-2S ferredoxin-type	layer_28_to	0.5943383954319449	1.0285836932410417	8565	1.0	inf	0.7455611645994691
Region: Coil 1B	layer_01_to	0.5928188241132835	10.29656223883028	4612	1.0	inf	0.7443644124978289
Topological domain: Lumenal	layer_02_to	0.5927796302057733	1.518189358953883	7446	1.0	inf	0.7443335147740322
Region: Sigma-70 factor domain-2	layer_28_to	0.6658992005613782	27.941308713829002	15334	0.829430103302002	inf	0.7387226897558432
Domain: Laminin G-like	layer_06_to	0.6367978274227869	3.805821256195537	13380	0.8674879265683038	13.768834058044291	0.7344541095181649
Domain: Histidine kinase	layer_12_to	0.7296925746338332	6.9778023857079345	4128	0.7301620284525249	5.245873860663347	0.7299272260607004
Domain: N-acetyltransferase	layer_31_to	0.5646584733577037	1.1645277457869192	13653	1.0	inf	0.7217657820827389
Domain: Core-binding (CB)	layer_16_to	0.5635193161779081	8.048136645962733	8625	1.0	inf	0.720834479429977
Domain: JmjC	layer_32_to	0.7041762538563268	6.418454192549069	5260	0.7342680603265762	5.1085339038155135	0.7189074014878754
Region: Leucine repeat I (LRI)	layer_19_to	0.7388909654974785	45.97837244849038	6080	0.6875070929527283	29.83098591549296	0.7122735153609848
Domain: ABC transporter	layer_01_to	0.5458386822895565	1.3049584758182706	11328	0.9999999403953552	inf	0.7062039228997761
Domain: SIS 1	mean_to	0.79867785592882	26.9187126821113	1654	0.6246358752250671	2.15303738317757	0.7010159891544528
