annot_type	attn_agg	auprc_mean	auprc_median	enrichment_gmean	odds_ratio	fisher_p	n_proteins	tp	fp	fn	tn
Domain: MGS-like	layer_16_to	1.0	1.0	1.0		1.0	30	401.0	0.0	3539.0	0.0
Domain: DHFR	layer_25_to	0.9999331484949635	0.999959170341336	1.0268014307440871	inf	2.6810322043121903e-07	30	539.0	0.0	4652.0	140.0
Domain: FMN hydroxy acid dehydrogenase	layer_18_to	0.999797435727151	0.9998562867774001	1.0261897118193857	inf	4.164021986358661e-15	30	1124.0	0.0	9716.0	307.0
Domain: DPCK	layer_23_to	0.9997559687997585	0.9998518653543362	1.0318761095433713	inf	1.0674377499792971e-10	30	624.0	0.0	5296.0	210.0
Domain: RNase H type-1	layer_18_to	0.9997309338233017	0.9996963816702178	1.0822480447657403	inf	4.830269127756723e-18	30	471.0	0.0	3787.0	355.0
Domain: ASCH	layer_12_to	0.9995515690923604	0.9996336101612118	1.1379651169982252	inf	1.2305673829898862e-19	30	332.0	0.0	2420.0	362.0
Domain: YjeF C-terminal	layer_32_to	0.999480608849598	0.9997029262767829	1.1041746833026758	inf	6.680113444162926e-48	30	1022.0	0.0	8139.0	969.0
Domain: RNase H type-2	layer_21_to	0.9984631719217679	0.9990682451833091	1.2082968023557423	inf	6.5018416405166e-66	30	717.0	0.0	5089.0	1267.0
Domain: Fe/B12 periplasmic-binding	layer_28_to	0.9982797494233993	0.9991957283384807	1.1284506554636213	inf	8.786851340823327e-48	30	853.0	0.0	6632.0	955.0
Domain: HDAg	layer_02_to	0.998082047571697	0.999412693892674	1.1614494323875033	inf	6.363550958188079e-47	30	634.0	0.0	4632.0	903.0
Domain: YcgL	layer_01_to	0.997409191662467	0.9982069553453451	1.181149121720202	inf	3.301195933397604e-24	30	309.0	0.0	2238.0	457.0
Domain: GH11	layer_26_to	0.9969709324949264	0.9981037924273632	1.2660039155971126	inf	5.308984567979004e-88	30	742.0	0.0	4931.0	1647.0
Domain: WAP	layer_28_to	0.9931222475724524	0.9990543735224586	1.7467650720524959	inf	6.737365434986134e-73	30	264.0	0.0	1127.0	1101.0
Domain: BPL/LPL catalytic	layer_11_to	0.9908090771990096	0.9969001482539047	1.2145939138771715	inf	3.0501159380644967e-66	30	696.0	0.0	4914.0	1272.0
Domain: Myosin motor	layer_06_to	0.9898171904995743	0.993482599890551	1.458043976627162	inf	0.0	47	4823.0	0.0	27622.0	15425.0
Region: Uridylyl-removing	layer_24_to	0.9843049595698109	0.9872322506810418	2.4819811060895183	inf	0.0	30	2689.0	0.0	8005.0	16110.0
Domain: NodB homology	layer_21_to	0.982829316678074	0.992097724099113	1.1983326678682678	100.33333333333333	7.089813109417919e-71	30	903.0	2.0	6615.0	1470.0
Domain: Peptidase S8	layer_20_to	0.9818611920196539	0.9953970212239953	1.9783163093259302	155.76006440055988	0.0	30	2058.0	17.0	8111.0	10436.0
DNA binding: Fork-head	layer_28_to	0.9812668692519346	0.9803830329449807	4.536902412338722	3731.2390057361376	0.0	30	1236.0	2.0	1569.0	9473.0
Domain: ABM	layer_28_to	0.9772666701365197	0.9998778998778999	1.1010036655540762	2.5907364201962193	1.2161086236049732e-07	30	311.0	28.0	2388.0	557.0
