annot_type	feature_id	auprc_mean	auprc_median	enrichment_gmean	odds_ratio	fisher_p	n_proteins	tp	fp	fn	tn
Domain	3081	1.0	1.0	1.0	inf	1.0	1	1.0	0.0	105.0	0.0
Region	3122	1.0	1.0	1.0	inf	1.0	1	1.0	0.0	698.0	0.0
Topological domain	1170	0.9824050178932021	0.9824050178932021	1.0	inf	0.9823874755381605	1	1.0	0.0	1003.0	18.0
Alternative sequence	5634	0.8613989637305699	0.8613989637305699	1.3344012796696627	0.0	1.0	1	0.0	1.0	665.0	106.0
Repeat	1503	0.861364576489768	0.861364576489768	1.190476227644621	inf	0.86084142394822	1	1.0	0.0	265.0	43.0
Disulfide bond	7474	0.8106657990098505	0.8106657990098505	1.1111111405455043	inf	0.8102893890675241	1	1.0	0.0	503.0	118.0
Transmembrane	3304	0.7502957620938335	0.7502957620938335	1.3157894901951928	inf	0.7491289198606272	1	1.0	0.0	214.0	72.0
Helix	667	0.7295233649534035	0.7295233649534035	1.72413798064596	inf	0.7282229965156795	1	1.0	0.0	208.0	78.0
Beta strand	7283	0.5939574702119237	0.5939574702119237	1.6666666004392863	inf	0.5930388219544847	1	1.0	0.0	442.0	304.0
Active site	5019	0.5060975609756098	0.5060975609756098		inf	0.012195121951219513	1	1.0	0.0	1.0	162.0
Coiled coil	6504	0.30919765166340507	0.30919765166340507		0.0	1.0	1	0.0	1.0	316.0	705.0
Peptide	7454	0.28712552552552556	0.2882882882882883		0.0	1.0	3	0.0	3.0	562.0	1392.0
DNA binding	3412	0.27507930214115783	0.27507930214115783	3.5775231625342236	inf	0.01912219989411257	3	3.0	0.0	309.0	852.0
Zinc finger	5468	0.25	0.25		0.0	1.0	3	0.0	3.0	276.0	825.0
Compositional bias	2095	0.209375	0.209375	4.141259548664402	0.0	1.0	1	0.0	1.0	67.0	252.0
Propeptide	3622	0.19960861056751467	0.19960861056751467		0.0	1.0	1	0.0	1.0	204.0	817.0
Transit peptide	837	0.16562986630519852	0.17064846416382254		0.0	1.0	3	0.0	3.0	142.0	712.0
Binding site	2186	0.13286516853932584	0.13286516853932584	50.00000111758712	inf	0.008988764044943821	1	1.0	0.0	7.0	882.0
Signal peptide	1991	0.13114754098360656	0.13114754098360656		0.0	1.0	1	0.0	1.0	16.0	105.0
Sequence conflict	4929	0.10880626223091977	0.10880626223091977		inf	0.00978473581213307	1	1.0	0.0	9.0	1012.0
Mutagenesis	1170	0.10774834822034061	0.10774834822034061	12.500000279396778	inf	0.09882583170254403	1	1.0	0.0	100.0	921.0
Motif	5275	0.08465608465608465	0.08465608465608465	50.00000111758712	0.0	1.0	1	0.0	1.0	16.0	172.0
Turn	6290	0.07816339066339067	0.07816339066339067	9.999999850988392	inf	0.052556818181818184	1	1.0	0.0	36.0	667.0
Modified residue	5915	0.022665261756876665	0.02309782608695652		0.0	1.0	3	0.0	3.0	50.0	2153.0
Glycosylation	6731	0.020181634712411706	0.020181634712411706		0.0	1.0	1	0.0	1.0	20.0	970.0
Natural variant	5915	0.019021739130434784	0.019021739130434784		0.0	1.0	1	0.0	1.0	14.0	721.0
Cross-link	4286	0.018590998043052837	0.018590998043052837		0.0	1.0	1	0.0	1.0	19.0	1002.0
Non-terminal residue	5019	0.012195121951219513	0.012195121951219513		0.0	1.0	1	0.0	1.0	2.0	161.0
Site	4204	0.012121212121212121	0.012121212121212121		0.0	1.0	1	0.0	1.0	4.0	325.0
Non-adjacent residues	4076	0.0019569471624266144	0.0019569471624266144		0.0	1.0	1	0.0	1.0	2.0	1019.0
