annot_type	feature_id	auprc_mean	auprc_median	enrichment_gmean	odds_ratio	fisher_p	n_proteins	n_clusters	tp	fp	fn	tn
Region: Editing domain	1096	1.0000001192092896	1.0000001192092896	1.0	inf	0.2288	1	1	1.0	0.0	142.0	482.0
Domain: Globin	4558	1.0000000596046448	1.0000000596046448	1.0	inf	0.9463087248322147	2	1	1.0	0.0	140.5	8.5
Domain: RNase H type-1	1333	1.0000000045849726	1.0000000045849726	1.0	inf	0.5292119678896919	26	1	5.730769230769231	0.0	137.15384615384616	19.884615384615383
Domain: Peptidase S1	318	1.0	1.0	1.0	inf	0.05263157894736842	1	1	1.0	0.0	0.0	18.0
Domain: PE	7741	1.0	1.0	1.0	inf	0.1712707182320442	2	1	1.0	0.0	92.0	450.0
Domain: PINc	13568	1.0	1.0	1.0	inf	0.9124087591240876	3	1	1.0	0.0	124.0	12.0
Domain: NodB homology	718	1.0	1.0	1.0	inf	0.8809523809523809	1	1	1.0	0.0	258.0	35.0
Domain: Nudix hydrolase	4641	1.0	1.0	1.0	inf	0.9146302761028245	2	1	2.0	0.0	130.0	6.0
Domain: PAS	15446	1.0	1.0	1.0	inf	0.10421836228287841	1	1	1.0	0.0	41.0	361.0
Domain: PAS 1	4235	1.0	1.0	1.0	inf	0.15827338129496404	2	1	1.0	0.0	65.0	351.0
Domain: MGS-like	2707	1.0	1.0	1.0	inf	0.9699248120300752	20	1	1.0	0.0	128.6	4.45
Domain: Macro	11582	1.0	1.0	1.0	inf	0.9206349206349207	2	1	1.0	0.0	173.0	15.0
Domain: N-acetyltransferase	9353	1.0	1.0	1.0	inf	0.6452991452991452	8	1	1.125	0.0	150.875	83.625
Domain: Guanylate kinase-like	9454	1.0	1.0	1.0	inf	0.36956580235048286	1	1	4.0	0.0	178.0	51.0
Domain: GMPS ATP-PPase	1783	1.0	1.0	1.0	inf	0.603225806451613	2	1	1.0	0.0	186.0	123.0
Domain: GS catalytic	7507	1.0	1.0	1.0	2.046982167352538	1.0	1	1	22.0	0.0	97.0	0.0
Domain: PDZ	10302	1.0	1.0	1.0	inf	0.11618257261410789	1	1	1.0	0.0	83.0	639.0
Domain: Thioredoxin	6741	1.0	1.0	1.0	inf	0.9541284403669725	4	1	1.0	0.0	103.0	5.0
Domain: DAGKc	9856	1.0	1.0	1.0	inf	0.4444444444444444	1	1	1.0	0.0	131.0	165.0
Domain: DHFR	2275	1.0	1.0	1.0	inf	0.9804878048780488	1	1	1.0	0.0	200.0	4.0
Domain: Carrier	10243	1.0	1.0	1.0	inf	0.95	4	1	1.0	0.0	75.0	4.25
Domain: CoA carboxyltransferase N-terminal	16164	1.0	1.0	1.0	inf	1.0	3	1	106.0	0.0	0.0	0.0
Domain: Core-binding (CB)	11439	1.0	1.0	1.0	inf	0.27831715210355984	4	1	1.0	0.0	85.0	223.75
Domain: Biotin carboxylation	6611	1.0	1.0	1.0	inf	1.0	1	1	48.0	0.0	396.0	0.0
Domain: PTS EIIC type-1	10711	1.0	1.0	1.0	inf	0.571648690292758	2	1	1.0	0.0	370.0	278.5
Domain: TGS	1863	1.0	1.0	1.0	inf	0.09228441754916793	101	1	1.0	0.0	60.386138613861384	600.6633663366337
Domain: SH3 1	4872	1.0	1.0	1.0	inf	0.1696969696969697	1	1	1.0	0.0	55.0	274.0
Domain: Peripheral subunit-binding (PSBD)	8285	1.0	1.0	1.0	inf	0.11111111111111113	1	1	1.0	2.0	0.0	24.0
Domain: Protein kinase	16200	1.0	1.0	1.0	inf	0.9591836734693877	4	1	1.0	0.0	281.75	12.75
Domain: RCK N-terminal	8312	1.0	1.0	1.0	inf	0.020645889233898235	1	1	6.0	0.0	112.0	105.0
Domain: RRM	9262	1.0	1.0	1.0	inf	0.5365853658536586	1	1	1.0	43.0	0.0	38.0
Domain: PPM-type phosphatase	1863	1.0	1.0	1.0	inf	0.9506726457399103	1	1	1.0	0.0	211.0	11.0
Domain: YjeF C-terminal	7176	1.0	1.0	1.0	inf	0.8063954942624357	2	1	4.0	0.0	287.0	16.0
Domain: C-type lectin	5049	1.0	1.0	1.0	inf	0.00819672131147541	1	1	1.0	0.0	0.0	121.0
Transmembrane: Helical; Name=1	14937	1.0	1.0	1.0	inf	0.06752411575562701	1	1	1.0	0.0	20.0	290.0
Binding site: Fe cation	15341	1.0	1.0	1.0	inf	0.025	1	1	1.0	0.0	0.0	39.0
Binding site: Mg(2+)	4872	1.0	1.0	1.0	inf	0.01714285714285714	11	1	1.0	2.0	0.0	172.45454545454547
Binding site: Mn(2+)	4710	1.0	1.0	1.0	inf	0.007911392405063292	1	1	1.0	4.0	0.0	627.0
Binding site: Ca(2+)	15543	1.0	1.0	1.0	inf	0.003552397868561279	1	1	1.0	1.0	0.0	561.0
Binding site: CoA	5607	1.0	1.0	1.0	inf	0.006493506493506493	1	1	1.0	2.0	0.0	459.0
Active site: Proton donor	53	1.0	1.0	1.0	inf	0.00606060606060606	1	1	1.0	0.0	0.0	164.0
Domain: GH11	3831	1.0	1.0	1.0	inf	0.8642533936651584	1	1	1.0	0.0	190.0	30.0
Active site: Schiff-base intermediate with substrate; via pyruvic acid	275	1.0	1.0	1.0	inf	0.005263157894736842	5	1	1.0	1.8	0.0	378.4
Binding site: ADP	1591	1.0	1.0	1.0	inf	0.001364256480218281	1	1	1.0	0.0	0.0	732.0
Active site	2707	1.0	1.0	1.0	inf	0.0025188916876574307	1	1	1.0	0.0	0.0	396.0
Active site: Charge relay system	10946	1.0	1.0	1.0	120.63613503009982	1.0	1	1	1.0	33.0	0.0	0.0
Active site: Electrophile	2192	1.0	1.0	1.0	inf	4.7936827856454324e-05	628	3	3.0	27.25268817204301	0.0	769.6989247311828
Active site: N6-AMP-lysine intermediate	6275	1.0	1.0	1.0	inf	0.004524886877828055	4	1	1.0	1.5	0.0	440.0
Active site: Nucleophile	9325	1.0	1.0	1.0	inf	0.0034013605442176865	1	1	1.0	0.0	0.0	293.0
Active site: Nucleophile; for glutamine hydrolysis	10023	1.0	1.0	1.0	inf	0.05338078291814946	701	1	1.0	29.13694721825963	0.0	532.6562054208274
Active site: Proton donor/acceptor	2299	1.0	1.0	1.0	inf	0.004	1	1	1.0	0.0	0.0	249.0
Domain: GIY-YIG	13747	1.0	1.0	1.0	inf	0.77	1	1	1.0	0.0	76.0	23.0
Domain: F-BAR	15381	1.0	1.0	1.0	inf	0.09746352538359511	3	2	3.0	0.0	501.5	590.5
Domain: F-box	9353	1.0	1.0	1.0	inf	0.10495049504950496	2	1	1.0	0.0	52.0	452.0
Domain: FAD-binding PCMH-type	13175	1.0	1.0	1.0	inf	0.45888594164456237	1	1	1.0	0.0	172.0	204.0
Domain: FMN hydroxy acid dehydrogenase	14146	1.0	1.0	1.0	inf	0.9785522788203753	3	1	1.0	0.0	364.0	8.666666666666666
Domain: Lipoyl-binding	1441	1.0	1.0	1.0	inf	0.17882352941176471	9	1	1.0	0.0	75.0	349.0
Domain: J	12188	1.0	1.0	1.0	inf	0.18469656992084432	1	1	1.0	0.0	69.0	309.0
Domain: Ig-like	15541	1.0	1.0	1.0	inf	0.003284473560483292	1	1	38.0	0.0	68.0	14.0
Transmembrane: Helical	13143	1.0	1.0	1.0	inf	0.08823529411764705	1	1	1.0	0.0	20.0	217.0
Domain: HTH dtxR-type	6535	1.0	1.0	1.0	inf	0.4532374100719424	1	1	1.0	0.0	62.0	76.0
Domain: HTH lysR-type	4762	1.0	1.0	1.0	inf	0.18495297805642633	1	1	1.0	0.0	58.0	260.0
Domain: IGFBP N-terminal	16197	1.0	1.0	1.0	inf	1.0	1	1	1.0	19.0	0.0	0.0
Transmembrane: Helical; Signal-anchor for type III membrane protein	1863	1.0	1.0	1.0	inf	0.04615384615384616	1	1	1.0	0.0	20.0	434.0
Transmembrane: Helical; Signal-anchor	4207	1.0	1.0	1.0	inf	0.040935672514619874	2	1	1.0	0.0	20.0	492.0
Topological domain: Virion surface	14465	1.0	1.0	1.0	inf	0.773841961852861	2	1	1.0	0.0	283.0	83.0
Transit peptide: Chloroplast	4736	1.0	1.0	1.0	inf	0.013118234804329726	2	2	2.0	0.0	136.0	1063.0
Transit peptide: Mitochondrion	1863	1.0	1.0	1.0	inf	6.131547075494337e-10	13	8	8.0	0.0	170.0	2299.583333333333
Domain: Ig-like C2-type	13107	1.0	1.0	1.0	inf	0.11074380165289258	1	1	1.0	0.0	66.0	538.0
Cross-link	4736	1.0	1.0	1.0	inf	0.001349527665317139	2	1	1.0	0.0	0.0	740.0
Binding site: substrate	5698	1.0	1.0	1.0	inf	0.0021231422505307855	1	1	1.0	0.0	0.0	470.0
Coiled coil	6712	1.0	1.0	1.0	inf	0.5591397849462365	3	1	1.0	0.0	51.0	41.333333333333336
Compositional bias: Acidic residues	4585	1.0	1.0	1.0	inf	0.044164037854889586	2	1	1.0	0.0	13.0	303.0
Compositional bias: Basic and acidic residues	9202	1.0	1.0	1.0	inf	0.036613272311212815	1	1	1.0	0.0	15.0	421.0
Compositional bias: Basic residues	12869	1.0	1.0	1.0	inf	0.01608187134502924	2	1	1.0	0.0	10.0	673.5
Compositional bias: Gly residues	4266	1.0	1.0	1.0	inf	0.21782178217821782	1	1	1.0	0.0	21.0	79.0
Domain: YcgL	11532	1.0	1.0	1.0	inf	0.7636363636363637	1	1	1.0	0.0	83.0	26.0
Binding site: heme b; proximal binding residue	930	1.0	1.0	1.0	inf	0.006329113924050633	1	1	1.0	0.0	0.0	157.0
Binding site: heme; axial binding residue	8424	1.0	1.0	1.0	inf	0.012048192771084338	1	1	1.0	0.0	0.0	82.0
Binding site: NADP(+)	5885	1.0	1.0	1.0	inf	0.048298729723648404	1	1	4.0	114.0	0.0	132.0
Binding site: Na(+)	6425	1.0	1.0	1.0	inf	0.050420168067226885	5	1	1.0	29.0	0.0	565.0
Binding site: Zn(2+)	4831	1.0	1.0	1.0	inf	0.20083682008368198	1	1	1.0	47.0	0.0	191.0
Region: Modulating	8392	1.0	1.0	1.0	inf	0.04596534412681495	6	2	2.0	0.0	207.8	764.6
Region: Pyrophosphorylase	5322	1.0	1.0	1.0	inf	0.48260869565217396	2	1	1.0	0.0	221.5	238.5
Region: Large ATPase domain (RuvB-L)	12869	1.0	1.0	1.0	inf	0.5152354570637119	3	1	1.0	0.0	185.0	175.33333333333334
Binding site: heme b; distal binding residue	1292	1.0	1.0	1.0	inf	0.006802721088435373	1	1	1.0	0.0	0.0	146.0
Topological domain: Cytoplasmic	12478	1.0	1.0	1.0	inf	0.13462563508009262	1	1	8.0	0.0	329.0	95.0
Topological domain: Extracellular	5877	1.0	1.0	1.0	inf	1.0	1	1	1.0	0.0	1021.0	0.0
Topological domain: Intravirion	5260	1.0	1.0	1.0	inf	1.6200215757334163e-13	1	1	10.0	0.0	27.0	583.0
Topological domain: Lumenal	2967	1.0	1.0	1.0	inf	0.05211672859755219	3	1	14.333333333333334	0.0	465.6666666666667	111.33333333333333
Topological domain: Mitochondrial intermembrane	8663	1.0	1.0	1.0	inf	0.8271604938271605	1	1	1.0	0.0	200.0	42.0
Topological domain: Mitochondrial matrix	3102	1.0	1.0	1.0	inf	0.4823529411764706	4	1	1.0	0.0	40.0	44.0
Topological domain: Periplasmic	11532	1.0	1.0	1.0	inf	0.10396039603960396	1	1	1.0	0.0	41.0	362.0
Compositional bias: Pro residues	718	1.0	1.0	1.0	inf	0.020242914979757085	1	1	1.0	0.0	9.0	484.0
Sequence uncertainty	10302	1.0	1.0	1.0	inf	0.0028735632183908046	1	1	1.0	0.0	0.0	347.0
