feature_id	auprc_mean	odds_ratio	fisher_p	n_proteins
9200	0.900435764256474	999.0132288094071	3.9578341391960665e-204	745
3397	0.8956559209336881	inf	7.020163228554198e-113	745
9808	0.873443094873558	inf	1.6459164071553416e-150	745
7775	0.8668141792231214	inf	6.55874259116291e-13	745
1829	0.8397240514204916	inf	6.943691353393711e-179	745
9865	0.778300158068529	inf	1.0499749879472589e-144	729
10023	0.7563079485987451	205.00375838926175	2.0546613393929935e-198	745
5086	0.5720551470756501	25.771995724538098	3.373165264268679e-45	249
1762	0.5336897476914507	33.535507896007175	2.939563078241851e-194	606
7344	0.5322580337524414	inf	0.44236760124610586	1
