feature_id	auprc_mean	odds_ratio	fisher_p	n_proteins
14069	0.9293560784529237	82.97491663041902	0.0	59
8537	0.9222952718536059	29.90082028337062	1.2093942094401504e-191	59
5629	0.9215810577951226	27.997829625610418	1.0262086104051646e-267	59
8963	0.9190159251195152	inf	9.995684700540252e-19	59
5986	0.9025606478059215	28.165726495726496	6.118161450798822e-256	57
15747	0.8961310865832312	30.690199871050936	1.2745486881411202e-276	59
477	0.8857610844221769	15.532571781414017	3.003870662174063e-152	59
9846	0.8825205536060085	41.8335248231239	7.389784385556911e-169	59
15333	0.8804356415092555	inf	6.723210971879874e-07	59
4810	0.8677299452550484	9.073479897009308	1.3846918502005547e-16	19
