epoch,l1_eff,train_recon,train_l1,train_sparsity,train_l0,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,5.00e-05,0.118540,0.156080,0.2937,2406.0,0.0000,0.016536,0.9838,1.0000,1.0000,3487
2,1.00e-04,0.010424,0.136791,0.2047,1677.1,0.4529,0.011502,0.9887,0.5471,1.0000,3614
3,5.00e-05,0.008768,0.151961,0.1917,1570.4,0.1118,0.009433,0.9908,0.8882,1.0000,3791
4,1.50e-04,0.009430,0.115704,0.1624,1330.8,0.5050,0.009723,0.9904,0.4950,1.0000,3765
5,7.50e-05,0.011749,0.132183,0.1817,1488.1,0.1139,0.005877,0.9942,0.8861,1.0000,3740
6,2.25e-04,0.016368,0.096293,0.1482,1214.2,0.5449,0.017665,0.9826,0.4551,1.0000,3937
7,1.13e-04,0.014073,0.115619,0.1747,1431.5,0.1045,0.008739,0.9914,0.8955,1.0000,3830
8,3.38e-04,0.032255,0.079674,0.1386,1135.6,0.4492,0.035853,0.9646,0.5508,1.0000,3675
9,1.69e-04,0.014972,0.100375,0.1641,1344.6,0.1842,0.013644,0.9866,0.8158,1.0000,3557
10,5.06e-04,0.064092,0.063473,0.1282,1050.1,0.2307,0.069801,0.9311,0.7693,1.0000,3552
