epoch,l1_eff,train_recon,train_l1,train_sparsity,train_l0,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,1.00e-05,0.194657,0.024529,0.0312,512.0,0.0000,0.144916,0.8582,1.0000,1.0000,3911
2,2.00e-05,0.114338,0.028407,0.0312,512.0,0.0000,0.123170,0.8795,1.0000,1.0000,3889
3,3.00e-05,0.101086,0.030560,0.0312,512.0,0.0001,0.117981,0.8845,0.9999,1.0000,3890
4,3.00e-05,0.095247,0.031534,0.0312,512.0,0.0001,0.107859,0.8945,0.9999,1.0000,3932
5,3.00e-05,0.091225,0.032305,0.0312,512.0,0.0000,0.103947,0.8983,1.0000,1.0000,3808
6,3.00e-05,0.087875,0.032955,0.0312,512.0,0.0000,0.101018,0.9012,1.0000,1.0000,3625
7,3.00e-05,0.085656,0.033416,0.0312,512.0,0.0000,0.106407,0.8959,1.0000,1.0000,3649
8,3.00e-05,0.083365,0.033745,0.0312,512.0,0.0000,0.097351,0.9048,1.0000,1.0000,3662
9,3.00e-05,0.081334,0.034021,0.0312,512.0,0.0001,0.094892,0.9072,0.9999,1.0000,3644
10,3.00e-05,0.079719,0.034272,0.0312,512.0,0.0002,0.092805,0.9092,0.9998,1.0000,3648
11,3.00e-05,0.078677,0.034454,0.0312,512.0,0.0004,0.092306,0.9097,0.9996,1.0000,3643
12,3.00e-05,0.077916,0.034624,0.0312,512.0,0.0012,0.090209,0.9118,0.9988,1.0000,3646
13,3.00e-05,0.076912,0.034772,0.0312,512.0,0.0033,0.091034,0.9110,0.9967,1.0000,3870
14,3.00e-05,0.075768,0.034899,0.0312,512.0,0.0108,0.087752,0.9142,0.9892,1.0000,4057
15,3.00e-05,0.075232,0.035001,0.0312,512.0,0.0296,0.086553,0.9154,0.9704,1.0000,3926
16,3.00e-05,0.074491,0.035083,0.0312,512.0,0.0636,0.096389,0.9057,0.9364,1.0000,4208
17,3.00e-05,0.074646,0.035161,0.0312,512.0,0.1153,0.087180,0.9147,0.8847,1.0000,4315
