accession	length	n_annot_res	mean_delta_in	mean_delta_out	contrast	cohen_d
Q8NHH9	583	9	4.995953559875488	1.2070238590240479	3.7889297008514404	2.6457695464477338
Q8WXF7	558	9	4.455320835113525	0.9901841282844543	3.465136706829071	2.6699797434247903
O60313	960	11	3.6412506103515625	0.4722297489643097	3.169020861387253	2.340871523750711
Q9NVN8	582	16	3.5476579666137695	0.41635528206825256	3.131302684545517	3.5175864398147385
Q9ULC3	237	13	3.7995035648345947	1.4799213409423828	2.319582223892212	1.5875526821096773
P51157	221	15	3.7918953895568848	1.6024510860443115	2.1894443035125732	1.6035063332417476
P68104	462	15	2.4318158626556396	0.3652458190917969	2.0665700435638428	1.7886961564444461
P23258	451	7	6.601798057556152	4.642344951629639	1.9594531059265137	1.6431375226413436
P61011	504	17	2.1468300819396973	0.19523924589157104	1.9515908360481262	2.2597188221864353
P57729	211	15	2.8413476943969727	1.0295778512954712	1.8117698431015015	1.560916985319825
Q05639	463	12	2.101055383682251	0.3542320132255554	1.7468233704566956	1.650396538899391
Q9BQE3	449	8	2.0027952194213867	0.2568359673023224	1.7459592521190643	2.6334633108840837
P20339	215	15	2.457460641860962	0.7271127104759216	1.7303479313850403	1.5357335521530906
Q9NY65	449	8	1.9611682891845703	0.24776481091976166	1.7134034782648087	2.6182685921524276
P0DPH8	450	8	1.9467456340789795	0.2439003437757492	1.7028452903032303	2.612948161692045
P0DPH7	450	8	1.9467456340789795	0.2439003437757492	1.7028452903032303	2.612948161692045
P61020	215	15	2.387392520904541	0.6928967237472534	1.6944957971572876	1.5235556468292484
P68371	445	8	1.7665140628814697	0.13571850955486298	1.6307955533266068	3.3769820230682708
P04350	444	8	1.7616980075836182	0.13484349846839905	1.6268545091152191	3.376469971733764
Q14088	237	14	2.3285908699035645	0.712421178817749	1.6161696910858154	1.5961247373816203
Q9BUF5	446	8	1.7298461198806763	0.12477853149175644	1.6050675883889198	3.3743084743899945
Q6PEY2	450	8	1.8375715017318726	0.23513871431350708	1.6024327874183655	2.5873798738254528
Q9H4B7	451	8	1.724616289138794	0.1265043169260025	1.5981119722127914	3.5393979807260165
Q3ZCM7	444	8	1.7238917350769043	0.12938588857650757	1.5945058465003967	3.3072326057201757
P07437	444	8	1.7121763229370117	0.13076519966125488	1.5814111232757568	3.213745478428909
Q13509	450	8	1.6974658966064453	0.12906287610530853	1.5684030205011368	3.352483873257898
P62820	205	14	2.2637784481048584	0.7095587849617004	1.554219663143158	1.647497555701698
Q92930	207	16	2.1614367961883545	0.6296559572219849	1.5317808389663696	1.7247695333618993
A6NNZ2	444	8	1.5992414951324463	0.11555936932563782	1.4836821258068085	3.1964974541660394
P68363	451	17	1.7161452770233154	0.24462595582008362	1.4715193212032318	1.819190363834141
A6NHL2	446	8	1.6230888366699219	0.20327529311180115	1.4198135435581207	2.4166650457627057
Q96A58	199	17	2.060730218887329	0.7090123891830444	1.3517178297042847	1.5990317194228776
P51159	221	15	1.8631203174591064	0.5227735042572021	1.3403468132019043	1.4847453217268518
Q13636	195	13	1.8514378070831299	0.5748791694641113	1.2765586376190186	1.3271647317063346
Q9H0U4	201	20	1.9052808284759521	0.6382403373718262	1.267040491104126	1.3604577078913231
O95716	219	15	1.9082953929901123	0.6494733095169067	1.2588220834732056	1.498768500250564
Q6IQ22	244	14	1.7128381729125977	0.45593342185020447	1.2569047510623932	1.8036767987553164
P61106	215	17	1.9954653978347778	0.7419862151145935	1.2534791827201843	1.234675694993361
Q9UL26	194	15	1.7819058895111084	0.5551262497901917	1.2267796397209167	1.3114238213685003
P20338	218	15	1.7989487648010254	0.5747512578964233	1.224197506904602	1.343409761556358
Q9UL25	225	16	1.6695716381072998	0.4513933062553406	1.2181783318519592	1.4018294894524124
P61018	213	15	1.799323558807373	0.6062082052230835	1.1931153535842896	1.3021072413493724
P36406	574	17	1.5509893894195557	0.417092502117157	1.1338968873023987	1.552323785461188
P55010	431	8	1.629953384399414	0.547469437122345	1.082483947277069	1.3002682520479385
Q9NP90	201	15	1.689308524131775	0.6339131593704224	1.0553953647613525	1.1765882678095234
O00194	218	16	1.456362247467041	0.42566370964050293	1.030698537826538	1.3192331185138753
Q96I99	432	5	1.4021928310394287	0.4084811508655548	0.9937116801738739	1.1884431842302041
O14966	203	9	1.445387601852417	0.7985549569129944	0.6468326449394226	0.6181890692235491
Q9UPQ3	857	17	0.4315371513366699	0.22994525730609894	0.20159189403057098	0.4408901573607607
Q99572	595	7	0.06906445324420929	0.40698760747909546	-0.33792315423488617	-0.6842733759572233
