cluster_id,size
A9UKA2,1670
A7IC65,1203
P59698,1071
Q2NJN5,1040
A3MV69,1037
Q6MGM7,1003
B8E1C9,998
P46762,948
Q5PA61,947
B3GZJ0,944
Q5PA65,931
P0C5Y0,930
Q0W8C9,907
O52346,906
Q2GEB7,898
A9BHA8,876
B2S486,856
Q2JJ19,851
Q04ES5,845
B8I2N8,841
