accession	length	n_annot_res	mean_delta_in	mean_delta_out	contrast	cohen_d
Q863A2	712	179	0.42614907026290894	0.012993836775422096	0.41315523348748684	1.7334432291968402
Q13207	712	179	0.4243192672729492	0.012143724597990513	0.4121755426749587	1.729639066037509
Q60707	711	179	0.425413578748703	0.01335222739726305	0.41206135135143995	1.7281291847423834
Q3SA48	685	174	0.41946595907211304	0.0167220551520586	0.40274390392005444	1.6844843692860783
Q7ZTU9	687	174	0.4167470335960388	0.015678750351071358	0.40106828324496746	1.6802298751580504
Q6PCL0	691	174	0.4159024953842163	0.015318470075726509	0.4005840253084898	1.6828572142739842
Q99593	518	181	0.4055909216403961	0.006736003328114748	0.39885491831228137	1.6847341501179216
Q9IBC8	688	174	0.4152359366416931	0.016906633973121643	0.39832930266857147	1.6683240136153117
P70326	518	181	0.40382057428359985	0.0061569660902023315	0.3976636081933975	1.6834611481916435
P57082	545	181	0.40157508850097656	0.006312634330242872	0.3952624541707337	1.6724286796511232
Q5I2P1	517	181	0.4010678231716156	0.006139072123914957	0.39492875104770064	1.6750269130395934
Q861Q9	554	181	0.40075650811195374	0.006070838775485754	0.394685669336468	1.66569860001122
P70325	552	181	0.40063947439193726	0.006453168578445911	0.39418630581349134	1.6676322307706104
Q9PWE8	521	176	0.3997223973274231	0.012705335393548012	0.3870170619338751	1.6037170794682167
E1BEA8	457	174	0.4019716680049896	0.01571417972445488	0.38625748828053474	1.63609489371048
Q9W7C2	519	176	0.39342212677001953	0.01310935989022255	0.380312766879797	1.5828663004233126
Q810F8	385	184	0.38788512349128723	0.00822173897176981	0.3796633845195174	1.6487047575491127
Q3SA47	519	176	0.39096125960350037	0.013080921024084091	0.3778803385794163	1.5686274798569024
Q9IAK8	492	176	0.39067861437797546	0.013970207422971725	0.37670840695500374	1.58259767126538
Q66JL1	517	174	0.3880457878112793	0.012247554026544094	0.3757982337847352	1.6026801159011481
O75333	385	184	0.38336828351020813	0.007744522299617529	0.3756237612105906	1.6230428915169097
D3ZJK7	436	174	0.3915536403656006	0.016482049599289894	0.3750715907663107	1.59370083090572
P70327	436	174	0.3897508978843689	0.01649879850447178	0.3732520993798971	1.5834093326453829
O95947	436	174	0.39011910557746887	0.016999656334519386	0.3731194492429495	1.5816646285622833
A1YF56	436	174	0.3877098560333252	0.016794953495264053	0.37091490253806114	1.5693450313046144
Q8AV66	506	174	0.3833186626434326	0.01282197143882513	0.3704966912046075	1.5813007709324227
Q3SA49	463	179	0.3830570578575134	0.014222105033695698	0.36883495282381773	1.5524790810420321
P70323	479	179	0.38340359926223755	0.014687112532556057	0.3687164867296815	1.5513772421229133
Q8AX98	463	179	0.38197147846221924	0.01389204803854227	0.36807943042367697	1.5492387896689415
Q32NI9	463	179	0.3822780251502991	0.014218014664947987	0.3680600104853511	1.549367722663513
Q8AXX2	460	179	0.38100719451904297	0.014108148403465748	0.3668990461155772	1.5394615593401846
O43435	398	179	0.3775557279586792	0.017983529716730118	0.3595721982419491	1.4906308088141254
P79779	361	174	0.3725524842739105	0.02423478104174137	0.34831770323216915	1.4737172821623654
Q99ME7	446	174	0.340584933757782	0.004069506656378508	0.3365154271014035	1.5172264242746656
O60806	448	174	0.340073823928833	0.0039542075246572495	0.33611961640417576	1.5247837014263845
Q17134	448	171	0.34708958864212036	0.013603158295154572	0.3334864303469658	1.4547214120108687
P56158	471	173	0.3447492718696594	0.014095567166805267	0.33065370470285416	1.4124162771001867
Q22292	315	185	0.3590153753757477	0.029054569080471992	0.3299608062952757	1.3411890043199226
Q9GL27	435	169	0.33841949701309204	0.012115069665014744	0.3263044273480773	1.433126581570403
P24781	432	169	0.3391152620315552	0.013344693928956985	0.3257705681025982	1.4336804987692977
O15178	435	169	0.33794209361076355	0.012244457378983498	0.32569763623178005	1.4362547675217898
P20293	436	169	0.3370054364204407	0.012177498079836369	0.3248279383406043	1.445752013742294
Q9U903	453	171	0.3372868597507477	0.01324772834777832	0.32403913140296936	1.4267650489779873
P79778	397	169	0.33343225717544556	0.015834327787160873	0.3175979293882847	1.383403669458194
Q07998	423	169	0.3319564461708069	0.014432341791689396	0.3175241043791175	1.4157677928989054
P79777	433	169	0.32929298281669617	0.013768204487860203	0.31552477832883596	1.3894815816036659
Q25113	434	171	0.32851865887641907	0.013237840496003628	0.31528081838041544	1.4051310741142273
Q22289	292	185	0.3298625648021698	0.03142610192298889	0.2984364628791809	1.20721682195372
Q20257	322	170	0.32552632689476013	0.030291670933365822	0.2952346559613943	1.167587387437708
Q95PX3	335	174	0.32685038447380066	0.03353897109627724	0.2933114133775234	1.2734910566655184
