accession	length	n_annot_res	mean_delta_in	mean_delta_out	contrast	cohen_d
Q22307	1022	1	2.03143048286438	0.09595687687397003	1.9354736059904099	14.370235731184263
P46976	350	3	1.8970929384231567	0.07440511137247086	1.8226878270506859	7.6370688414971974
Q9R062	333	3	1.892499566078186	0.0800052359700203	1.8124943301081657	7.3082840317301905
O08730	333	3	1.8940272331237793	0.08251217752695084	1.8115150555968285	7.354566314245038
Q12149	733	4	1.7239677906036377	0.06858476251363754	1.6553830280900002	7.221278618984536
P23336	394	2	1.5211656093597412	0.09698264300823212	1.424182966351509	11.521277851999832
P14769	368	2	1.5283379554748535	0.11082648485898972	1.4175114706158638	11.846560325974224
Q8BWP8	415	2	1.461741328239441	0.056704118847846985	1.405037209391594	7.219154638365608
Q3L7M0	371	2	1.49663507938385	0.1040191650390625	1.3926159143447876	11.633029449891787
P14882	737	3	1.4610371589660645	0.07158175110816956	1.389455407857895	4.990355633204075
O43505	415	2	1.4291800260543823	0.053844258189201355	1.375335767865181	7.426162020140319
L7YAI7	431	2	1.425990343093872	0.06657437235116959	1.3594159707427025	5.665103023172592
Q91ZA3	724	3	1.4186865091323853	0.07415551692247391	1.3445309922099113	4.859077983996479
P05165	728	3	1.3977380990982056	0.06946969032287598	1.3282684087753296	4.98142620841905
Q86TP1	453	4	1.3654870986938477	0.06109209358692169	1.304395005106926	9.997667309552963
Q9VNX1	885	4	1.34062922000885	0.047355327755212784	1.2932738922536373	3.4315513931265555
Q42523	734	3	1.3314508199691772	0.06964629888534546	1.2618045210838318	3.8463598377429773
Q7Z4T8	443	3	1.3087131977081299	0.0938405990600586	1.2148725986480713	3.2186033168056314
O70133	1022	2	1.3133196830749512	0.14320379495620728	1.170115888118744	3.38809782178968
Q08211	1022	2	1.2830536365509033	0.1479603797197342	1.1350932568311691	3.393489352795087
Q28141	1022	2	1.2783031463623047	0.14691492915153503	1.1313882172107697	3.3941783414649014
Q96AZ6	181	5	1.2106634378433228	0.10775557160377502	1.1029078662395477	1.5392190144617057
P90740	865	4	1.1516329050064087	0.0505225770175457	1.101110327988863	2.53446190347924
O34398	611	5	1.1628962755203247	0.06907962262630463	1.09381665289402	3.944436412895538
Q9JL16	300	4	0.9969391226768494	0.04300737753510475	0.9539317451417446	1.3396560954099912
P0A9C9	336	5	1.002880334854126	0.0545397512614727	0.9483405835926533	3.489880675907015
P21437	321	5	0.986152172088623	0.053696196526288986	0.9324559755623341	3.9845915515580375
Q6KFX9	362	2	1.0382121801376343	0.11878977715969086	0.9194224029779434	2.270242256488314
Q03224	321	5	0.9457143545150757	0.06997235119342804	0.8757420033216476	3.468721308331537
A1A4Q9	195	5	0.7647516131401062	0.11803939938545227	0.6467122137546539	1.0494167702794892
P09606	373	6	0.6582038402557373	0.0329330675303936	0.6252707727253437	3.3468781909971352
Q96DE0	195	5	0.7435356974601746	0.12475332617759705	0.6187823712825775	1.029479030679809
P15104	373	6	0.650425136089325	0.032835982739925385	0.6175891533493996	3.2024560585589694
P15103	373	6	0.6491514444351196	0.033894699066877365	0.6152567453682423	3.157733823626176
P15105	373	6	0.6445514559745789	0.03284681960940361	0.6117046363651752	3.169634992491856
Q6P3D0	195	5	0.7312362194061279	0.12612271308898926	0.6051135063171387	1.0192893475646763
O34714	385	8	0.6589102745056152	0.05850490927696228	0.600405365228653	3.660289428502617
P11498	1022	3	0.6101228594779968	0.08475145697593689	0.5253714025020599	2.3139798562159166
P52873	1022	3	0.6118083596229553	0.08689967542886734	0.524908684194088	2.3741146203519636
Q05920	1022	3	0.5959720015525818	0.08614921569824219	0.5098227858543396	2.395615563319237
P54716	449	2	0.4630505442619324	0.0727866068482399	0.3902639374136925	2.7799293269444414
P54512	142	6	0.365130752325058	0.08722538501024246	0.2779053673148155	1.131957063438585
Q2PGG3	331	3	0.4074460566043854	0.1403331458568573	0.2671129107475281	0.7636724882041918
Q7XSN8	339	3	0.4015217125415802	0.13821366429328918	0.263308048248291	0.7614497692412793
A0JNI4	334	3	0.31326529383659363	0.12876972556114197	0.18449556827545166	0.560420229149979
Q54HH2	324	3	0.31874343752861023	0.1387924998998642	0.17995093762874603	0.5170835164580309
Q9GZT4	340	3	0.30303841829299927	0.12608590722084045	0.1769525110721588	0.5930386000446559
Q76EQ0	333	3	0.27119868993759155	0.1298009753227234	0.14139771461486816	0.4578449818100686
Q9QZX7	339	3	0.2569524645805359	0.12699271738529205	0.12995974719524384	0.45104087632984347
D6WI29	398	3	0.051602620631456375	0.02561005763709545	0.025992562994360924	0.36025903616858584
