accession	length	n_annot_res	mean_delta_in	mean_delta_out	contrast	cohen_d
Q9NRS4	437	21	1.2833497524261475	0.08776536583900452	1.195584386587143	5.0371018648663295
Q92187	359	13	1.2012640237808228	0.0843200758099556	1.1169439479708672	6.792396318596304
Q38890	621	21	1.1389936208724976	0.05733277648687363	1.081660844385624	4.123365593047149
P32343	579	21	1.1564528942108154	0.10361863672733307	1.0528342574834824	2.7867380412125176
Q9Y274	331	21	1.0843474864959717	0.08185983449220657	1.002487652003765	3.242606718973788
P57727	454	21	1.1064800024032593	0.1042313352227211	1.0022486671805382	3.2289233428602477
Q9BV23	337	21	1.0933353900909424	0.09155996143817902	1.0017754286527634	3.6342528860090195
Q11203	375	20	1.075443148612976	0.0888032615184784	0.9866398870944977	3.8586655189196803
P14410	1022	20	1.0637061595916748	0.09106679260730743	0.9726393669843674	2.7755910051775707
Q8WVQ1	401	18	1.085201382637024	0.11789968609809875	0.9673016965389252	3.2152280213851605
Q9VUL9	503	18	1.0486721992492676	0.09333068132400513	0.9553415179252625	3.705883967875755
Q92186	375	17	1.01262366771698	0.07986399531364441	0.9327596724033356	3.9823932525458337
Q9GZS9	411	18	1.0014011859893799	0.07873547077178955	0.9226657152175903	5.034536119747579
Q8VCF1	403	17	1.0327887535095215	0.11470133811235428	0.9180874153971672	3.3387303624619102
O60476	641	21	1.0060310363769531	0.0900253877043724	0.9160056486725807	2.9597440603611873
Q9D4M9	431	23	0.9964433908462524	0.08145302534103394	0.9149903655052185	4.288337704557574
Q3L7M0	371	18	1.026983380317688	0.1311405450105667	0.8958428353071213	4.215436779641968
Q9N491	330	19	0.9809166789054871	0.09505873918533325	0.8858579397201538	4.274787232012984
P41273	254	21	0.9613826274871826	0.08250130712985992	0.8788813203573227	3.128047211575438
P33908	653	21	0.9356594085693359	0.08170250058174133	0.8539569079875946	3.233206092297107
Q9GZX3	395	21	0.9091805815696716	0.06801872700452805	0.8411618545651436	3.77580307428119
Q8NCG5	386	21	0.9071863889694214	0.06870145350694656	0.8384849354624748	3.787846896079951
P21964	271	20	0.946795642375946	0.11111728847026825	0.8356783539056778	3.939449608194089
Q9QUP4	395	19	0.8973564505577087	0.07653267681598663	0.8208237737417221	4.481943288942783
O43505	415	28	0.8826460838317871	0.07339490205049515	0.809251181781292	2.759109152652207
Q7LGA3	356	17	0.8779169917106628	0.07310091704130173	0.8048160746693611	3.461957042386992
Q9NR34	630	21	0.8844075202941895	0.08226647973060608	0.8021410405635834	3.5784566837439526
Q7Z4T8	443	23	0.8731469511985779	0.07254832237958908	0.8005986288189888	3.7520431239444574
O43173	380	24	0.8636302947998047	0.06551782041788101	0.7981124743819237	3.147616326210566
Q6UVW9	174	21	0.9396823644638062	0.14506998658180237	0.7946123778820038	2.833524164124852
Q92185	356	19	0.8949036598205566	0.11844872683286667	0.77645493298769	3.3537079180101403
Q96JF0	529	21	0.8677465319633484	0.09457416832447052	0.7731723636388779	3.200202016599677
P50085	310	21	0.8419211506843567	0.09874028712511063	0.7431808635592461	3.449393742944615
P02786	760	21	0.765028715133667	0.04553420841693878	0.7194945067167282	2.157241186668921
Q9UP52	801	21	0.7520852088928223	0.06266625225543976	0.6894189566373825	2.345063607044773
Q9UHP7	191	21	0.8351830840110779	0.14946161210536957	0.6857214719057083	2.060978272845923
Q9SWH5	558	21	0.8258148431777954	0.14227767288684845	0.683537170290947	2.663349462518319
P50093	294	23	0.7369567155838013	0.09011811017990112	0.6468386054039001	2.564850797386501
Q96L58	329	23	0.7193399667739868	0.0999205932021141	0.6194193735718727	3.0551358286318546
P0DKC5	349	21	0.7260161638259888	0.1335121989250183	0.5925039649009705	1.6927543218372443
Q2QYU2	502	23	0.6615734696388245	0.08197887986898422	0.5795945897698402	2.4337235287131906
P20937	262	22	0.649482011795044	0.09581295400857925	0.5536690577864647	2.0943313317560777
O04331	277	22	0.5218849182128906	0.0904204323887825	0.4314644858241081	2.2911255737121627
P26715	233	23	0.521059513092041	0.09146628528833389	0.4295932278037071	1.8600088725683621
O43916	411	21	0.4965488016605377	0.07421910017728806	0.42232970148324966	1.6322335786785047
P26717	231	23	0.5115863680839539	0.0915784016251564	0.42000796645879745	1.768289414312993
Q07444	240	23	0.5231056809425354	0.11126408725976944	0.41184159368276596	1.6740304410955118
Q7Z412	305	21	0.3801332116127014	0.14690923690795898	0.23322397470474243	1.1394299461917519
P04233	296	26	0.32327720522880554	0.09998442977666855	0.223292775452137	1.2888921728861413
Q99941	703	21	0.2070545256137848	0.12283320724964142	0.08422131836414337	0.5862677614757169
