accession	length	n_annot_res	mean_delta_in	mean_delta_out	contrast	cohen_d
A9KGD3	202	190	0.3862196207046509	0.010335838422179222	0.37588378228247166	2.3165516972546434
B6J7Z2	202	190	0.3862196207046509	0.010335838422179222	0.37588378228247166	2.3165516972546434
A9N8L5	202	190	0.3862196207046509	0.010335838422179222	0.37588378228247166	2.3165516972546434
A1VN54	208	186	0.3855697512626648	0.009804156608879566	0.37576559465378523	2.313912621639157
Q5NZG1	204	190	0.40382200479507446	0.0405082069337368	0.36331379786133766	2.233073820348409
Q12A45	199	186	0.39377444982528687	0.0311490036547184	0.36262544617056847	2.32289788434796
Q0A7J3	198	187	0.3930794298648834	0.038314126431941986	0.35476530343294144	2.05372804496895
Q1BHG8	214	189	0.4016430079936981	0.0562291145324707	0.3454138934612274	2.1012418801993826
A0K8C9	214	189	0.4016430079936981	0.0562291145324707	0.3454138934612274	2.1012418801993826
Q4USP6	240	192	0.386043906211853	0.04334394261240959	0.34269996359944344	2.109908618434903
Q13XD0	248	191	0.3991715610027313	0.06008448079228401	0.3390870802104473	2.0602427122760876
B2UBB5	232	193	0.40242332220077515	0.0638902485370636	0.33853307366371155	2.0159980590240427
Q2SWY4	214	189	0.40724828839302063	0.07061437517404556	0.33663391321897507	1.9963748797282193
B1YS60	217	190	0.39605456590652466	0.060275688767433167	0.3357788771390915	2.0617678438588833
Q9PEI7	234	192	0.39119693636894226	0.060313694179058075	0.3308832421898842	1.9943905841697862
A3NAT3	214	189	0.40492182970046997	0.07419883459806442	0.33072299510240555	1.9582175028267255
A1V554	214	189	0.40549159049987793	0.07490652054548264	0.3305850699543953	1.962142210741608
A3NWL6	214	189	0.40549159049987793	0.07490652054548264	0.3305850699543953	1.962142210741608
A2SH85	217	190	0.39033910632133484	0.061052169650793076	0.32928693667054176	1.9826198607009629
B2I7N7	234	192	0.3876716196537018	0.05903308838605881	0.328638531267643	1.9989797536719307
B0U235	234	192	0.389077752828598	0.060798972845077515	0.3282787799835205	1.97598561883864
A4JF61	216	189	0.4067954421043396	0.08378694951534271	0.3230084925889969	1.87770829635302
Q1LNE4	226	193	0.388647198677063	0.06616978347301483	0.32247741520404816	1.977313943569079
A0LV66	307	192	0.371341347694397	0.051361192017793655	0.3199801556766033	1.961210368260294
Q5YS47	251	192	0.37588560581207275	0.05602005124092102	0.31986555457115173	1.9559423942432739
Q72DU5	220	201	0.36966922879219055	0.05225745961070061	0.31741176918148994	1.8604290867391935
A1VFE7	220	201	0.37013372778892517	0.05291074886918068	0.3172229789197445	1.8569433216776274
A1KMP6	264	192	0.36695584654808044	0.05140577629208565	0.3155500702559948	1.8686088612392893
A0PQ70	239	192	0.36543741822242737	0.0528445802628994	0.31259283795952797	1.8911935565156839
Q8PML9	244	192	0.3775143623352051	0.06821524351835251	0.30929911881685257	1.8398960241854914
Q1D980	293	191	0.38885897397994995	0.08063529431819916	0.3082236796617508	1.9230616877781583
C3MHC0	231	190	0.38513118028640747	0.08310369402170181	0.30202748626470566	1.793423461817395
Q313K1	263	219	0.3290242850780487	0.027750231325626373	0.30127405375242233	1.8242655495955096
A8M684	269	195	0.35871824622154236	0.06062738969922066	0.2980908565223217	1.889379232615503
Q92RM4	216	184	0.3923305571079254	0.09621945023536682	0.2961111068725586	1.7127014768343531
B5ZS20	229	190	0.38036996126174927	0.08429042994976044	0.29607953131198883	1.7128499649564892
A7H722	315	190	0.38867756724357605	0.09380108118057251	0.29487648606300354	1.8570396456001292
A3PXW3	239	192	0.36801186203956604	0.0743020549416542	0.29370980709791183	1.7538666274159145
A1SLS0	240	192	0.3711702525615692	0.07767397910356522	0.293496273458004	1.7836425930312287
B3PRG0	229	190	0.38005194067955017	0.08936111629009247	0.2906908243894577	1.699229604449584
Q10236	326	224	0.3493918478488922	0.05895741283893585	0.29043443500995636	1.7698529432153844
Q2SBR2	204	188	0.38501617312431335	0.09612321853637695	0.2888929545879364	1.7171722712008628
A4FME5	228	192	0.35513511300086975	0.06953468918800354	0.2856004238128662	1.7521399976927614
B8ZRW3	240	190	0.3722638487815857	0.08686599135398865	0.28539785742759705	1.7361382420261546
O33022	240	190	0.3722638487815857	0.08686599135398865	0.28539785742759705	1.7361382420261546
A7IES2	249	189	0.3837660849094391	0.11791132390499115	0.26585476100444794	1.3603526820088685
Q9P5X8	317	228	0.35474637150764465	0.09105643630027771	0.26368993520736694	1.552271519028546
Q0BQZ6	219	198	0.36437463760375977	0.1018701046705246	0.26250453293323517	1.5341360660642611
A9H3E2	224	202	0.34036964178085327	0.08631295710802078	0.2540566846728325	1.4306295269987854
P53942	307	228	0.32849568128585815	0.07531273365020752	0.25318294763565063	1.5275489951931425
