accession	length	n_annot_res	mean_delta_in	mean_delta_out	contrast	cohen_d
Q9PUQ1	494	81	0.37165218591690063	0.04305732250213623	0.3285948634147644	2.69060572241212
Q9CXC9	510	81	0.36693593859672546	0.04790947586297989	0.3190264627337456	2.526766156762881
P41161	510	81	0.36853575706481934	0.050001077353954315	0.318534679710865	2.505547009014552
P28322	485	81	0.3760462999343872	0.06199264898896217	0.31405365094542503	2.4514576575608307
P43268	484	81	0.3722001016139984	0.06062469631433487	0.31157540529966354	2.4278252814448
Q6P3D7	242	84	0.40317970514297485	0.09935800731182098	0.30382169783115387	2.090797929295546
P41163	335	81	0.34968504309654236	0.04739239811897278	0.3022926449775696	2.625554285633575
P50549	477	81	0.37036392092704773	0.07276394963264465	0.2975999712944031	2.323592913653798
Q2KIC2	477	81	0.3714965283870697	0.07492417842149734	0.29657234996557236	2.3205048355147784
Q0VC65	452	82	0.37899166345596313	0.08693015575408936	0.2920615077018738	2.174804305451769
P41164	477	81	0.37284180521965027	0.08114529401063919	0.2916965112090111	2.2660146629135838
O00321	342	81	0.3644252121448517	0.07585015147924423	0.28857506066560745	2.3057643322874433
P41212	452	82	0.3725695312023163	0.08423401415348053	0.28833551704883575	2.166722803739798
P97360	485	82	0.3751685321331024	0.0877031534910202	0.2874653786420822	2.1175724412961783
Q8N5J4	248	84	0.3850182890892029	0.12065520137548447	0.2643630877137184	1.8880456460844757
P70459	551	81	0.36042311787605286	0.10326455533504486	0.257158562541008	2.0641836247978596
P50548	548	81	0.3623645305633545	0.10578978806734085	0.25657474249601364	2.0559294084549813
Q1RML4	248	84	0.36783450841903687	0.11349024623632431	0.25434426218271255	1.829089624808519
A1YF15	512	82	0.34141820669174194	0.09183391183614731	0.24958429485559464	1.9841193298736373
A2T762	512	82	0.3381229341030121	0.09281903505325317	0.2453038990497589	1.9607954173507407
A1YG91	512	82	0.338172972202301	0.0931321308016777	0.24504084140062332	1.9598918432545915
P41162	512	82	0.34011411666870117	0.09848583489656448	0.2416282817721367	1.923884860147182
A2D4Z7	512	82	0.3424384295940399	0.10635261237621307	0.23608581721782684	1.8737970765801013
Q8R4Z4	513	82	0.34706196188926697	0.11469249427318573	0.23236946761608124	1.8291329935302765
P11308	479	81	0.267875075340271	0.03828524425625801	0.22958983108401299	1.9943929515957897
P81270	486	81	0.2685739994049072	0.04161125421524048	0.22696274518966675	1.959171722811591
Q90837	478	81	0.2606888711452484	0.039416078478097916	0.2212727926671505	1.955249121063322
P41157	453	81	0.25628095865249634	0.035443954169750214	0.22083700448274612	2.002228512895121
P26323	452	81	0.2516072690486908	0.034555528312921524	0.21705174073576927	1.9241780539332558
Q01543	452	81	0.25183263421058655	0.035648196935653687	0.21618443727493286	1.9233718438145755
Q29RS8	452	81	0.24712829291820526	0.03693744167685509	0.21019085124135017	1.8758888924445287
O01519	218	82	0.3152148723602295	0.15027110278606415	0.16494376957416534	1.5162621936258613
